r1_domain,r2_domain,r1_h_index,r2_h_index,r1_publications,r2_publications,r1_years_experience,r2_years_experience,r1_institution,r2_institution,r1_country,r2_country,r1_citations,r2_citations,r1_grants,r2_grants,shared_keywords,same_domain,same_institution_type,same_country,h_index_diff,experience_diff,total_grants,avg_publications,compatibility_score,compatible
IoT,Bioinformatics,10,10,24,16,26,1,NIT,IIT,UK,USA,288,288,2,3,1,0,0,0,0,25,5,20.0,51,0
Robotics,IoT,8,8,22,20,4,10,IIT,NIT,Canada,Canada,528,120,0,5,0,0,0,1,0,6,5,21.0,77,1
Quantum Computing,Robotics,19,4,45,20,13,2,NIT,Research Institute,Germany,UK,1080,240,9,3,1,0,0,0,15,11,12,32.5,32,0
Bioinformatics,Cloud Computing,5,16,15,28,2,12,Private University,Central University,Germany,UK,75,672,2,1,0,0,0,0,11,10,3,21.5,27,0
Bioinformatics,IoT,14,15,35,34,23,1,Central University,Private University,Australia,India,595,714,7,2,0,0,0,0,1,22,9,34.5,50,0
IoT,Data Science,32,12,68,22,29,26,Central University,Central University,USA,Germany,1020,506,2,0,1,0,1,0,20,3,2,45.0,31,0
Machine Learning,NLP,12,6,19,32,9,13,Research Institute,IIT,USA,UK,114,256,0,8,0,0,0,0,6,4,8,25.5,77,1
Cloud Computing,Cybersecurity,10,14,30,34,15,29,Research Institute,Central University,Australia,USA,330,714,4,9,1,0,0,0,4,14,13,32.0,57,1
Robotics,Cybersecurity,8,12,41,31,24,2,Central University,Research Institute,USA,USA,328,620,4,0,1,0,0,1,4,22,4,36.0,53,0
IoT,Data Science,12,3,43,16,10,7,Research Institute,Central University,Canada,Germany,559,256,2,8,0,0,0,0,9,3,10,29.5,40,0
IoT,Data Science,5,25,23,61,5,8,Private University,NIT,USA,USA,138,488,8,4,1,0,0,1,20,3,12,42.0,45,0
Cloud Computing,Cloud Computing,4,4,26,24,10,15,Private University,IIT,USA,Australia,234,192,1,3,6,1,0,0,0,5,4,25.0,88,1
Machine Learning,Machine Learning,2,7,35,26,13,11,IIT,IIT,Canada,Germany,175,364,4,2,6,1,1,0,5,2,6,30.5,81,1
NLP,NLP,5,5,11,24,5,4,NIT,IIT,India,USA,110,168,0,8,6,1,0,0,0,1,8,17.5,81,1
Cloud Computing,Machine Learning,17,6,41,32,10,18,Private University,Research Institute,UK,Canada,820,736,0,5,0,0,0,0,11,8,5,36.5,47,0
Quantum Computing,IoT,9,4,24,33,29,8,Private University,IIT,Canada,India,240,495,3,6,1,0,0,0,5,21,9,28.5,48,0
Cloud Computing,Machine Learning,3,6,16,24,25,21,Research Institute,IIT,Germany,Australia,96,144,1,7,0,0,0,0,3,4,8,20.0,53,0
Bioinformatics,Machine Learning,12,4,30,19,5,11,Research Institute,Research Institute,UK,Canada,390,342,0,5,1,0,1,0,8,6,5,24.5,44,0
Cybersecurity,Computer Vision,2,7,45,35,29,10,NIT,Research Institute,India,USA,990,770,3,8,0,0,0,0,5,19,11,40.0,48,0
Robotics,Cloud Computing,8,12,40,30,22,5,NIT,Central University,Australia,UK,840,450,3,3,0,0,0,0,4,17,6,35.0,49,0
Bioinformatics,Data Science,16,16,42,35,6,4,Private University,Private University,India,Germany,798,560,4,8,0,0,1,0,0,2,12,38.5,75,1
Quantum Computing,Robotics,15,7,28,36,19,22,NIT,Central University,Canada,Canada,644,612,0,9,0,0,0,1,8,3,9,32.0,42,0
Computer Vision,Cybersecurity,5,7,29,35,27,27,IIT,Private University,India,Germany,551,735,1,0,0,0,0,0,2,0,1,32.0,35,0
Cloud Computing,Machine Learning,8,5,46,24,13,25,Private University,NIT,India,India,874,384,6,8,1,0,0,1,3,12,14,35.0,68,1
IoT,Data Science,5,9,30,23,2,29,Private University,Research Institute,Canada,India,270,437,6,0,1,0,0,0,4,27,6,26.5,32,0
Cloud Computing,Robotics,16,13,35,38,3,5,IIT,Research Institute,USA,Germany,490,418,0,2,0,0,0,0,3,2,2,36.5,59,1
Bioinformatics,Bioinformatics,4,5,17,20,7,19,IIT,Research Institute,India,Australia,102,480,6,0,6,1,0,0,1,12,6,18.5,68,1
Machine Learning,Machine Learning,11,28,28,54,14,11,NIT,NIT,UK,Australia,224,864,0,1,6,1,1,0,17,3,1,41.0,63,1
NLP,Bioinformatics,4,12,19,46,11,1,Private University,NIT,India,Australia,247,966,1,8,0,0,0,0,8,10,9,32.5,39,0
Robotics,Cloud Computing,5,2,21,7,18,15,Research Institute,Central University,Germany,Germany,420,133,0,7,0,0,0,1,3,3,7,14.0,69,1
NLP,Data Science,16,8,25,26,17,1,IIT,IIT,Australia,India,300,546,6,9,0,0,1,0,8,16,15,25.5,23,0
Cybersecurity,Data Science,5,18,20,24,28,27,NIT,Research Institute,India,Australia,460,312,7,3,1,0,0,0,13,1,10,22.0,27,0
Quantum Computing,Machine Learning,10,3,40,17,18,9,Private University,Central University,UK,Germany,760,238,5,9,1,0,0,0,7,9,14,28.5,46,0
IoT,Cloud Computing,5,8,21,32,21,29,NIT,Private University,UK,Germany,504,384,4,5,1,0,0,0,3,8,9,26.5,83,1
NLP,Cybersecurity,21,8,33,49,18,22,Research Institute,IIT,Canada,Australia,495,686,1,8,0,0,0,0,13,4,9,41.0,45,0
Bioinformatics,Computer Vision,6,13,33,41,21,13,NIT,IIT,Canada,UK,792,205,1,3,0,0,0,0,7,8,4,37.0,40,0
NLP,NLP,13,6,39,42,19,28,Private University,Private University,Canada,UK,585,966,5,8,6,1,1,0,7,9,13,40.5,75,1
Data Science,Machine Learning,12,7,35,25,19,24,IIT,Central University,India,Germany,805,550,4,3,1,0,0,0,5,5,7,30.0,71,1
Data Science,NLP,5,5,20,54,25,25,Central University,IIT,India,USA,140,1188,1,5,0,0,0,0,0,0,6,37.0,60,1
Cybersecurity,Cloud Computing,9,9,19,36,8,17,Private University,Research Institute,Australia,Germany,190,468,1,2,1,0,0,0,0,9,3,27.5,64,1
Computer Vision,Data Science,10,3,17,19,24,17,IIT,Research Institute,India,India,102,456,8,6,0,0,0,1,7,7,14,18.0,59,1
Quantum Computing,Cybersecurity,9,7,23,24,22,29,Research Institute,IIT,UK,UK,299,264,9,9,0,0,0,1,2,7,18,23.5,62,1
Cybersecurity,Cloud Computing,12,6,35,33,14,7,Private University,NIT,India,Australia,700,627,6,9,0,0,0,0,6,7,15,34.0,58,1
Cloud Computing,Cybersecurity,11,11,27,24,10,6,NIT,NIT,Canada,USA,567,408,3,5,1,0,1,0,0,4,8,25.5,69,1
Bioinformatics,IoT,15,2,31,14,5,1,Central University,NIT,UK,India,248,266,1,0,1,0,0,0,13,4,1,22.5,34,0
NLP,Cybersecurity,22,11,31,36,17,1,Private University,Central University,UK,Germany,620,180,7,9,1,0,0,0,11,16,16,33.5,24,0
Computer Vision,Robotics,8,18,17,28,24,11,Central University,Private University,UK,Australia,357,616,3,3,0,0,0,0,10,13,6,22.5,44,0
Quantum Computing,Computer Vision,8,5,18,46,20,17,NIT,NIT,Germany,UK,180,874,7,2,0,0,1,0,3,3,9,32.0,54,0
Machine Learning,Quantum Computing,4,2,29,23,9,27,Private University,Private University,UK,UK,493,552,2,6,0,0,1,1,2,18,8,26.0,55,1
IoT,Quantum Computing,8,3,32,19,13,16,Central University,NIT,Germany,UK,480,152,2,2,1,0,0,0,5,3,4,25.5,51,0
Data Science,Robotics,8,7,29,31,1,9,Research Institute,Private University,Canada,UK,464,527,3,1,1,0,0,0,1,8,4,30.0,61,1
NLP,Bioinformatics,5,6,12,36,24,22,Private University,Private University,UK,Australia,84,792,3,6,1,0,1,0,1,2,9,24.0,67,1
Robotics,Bioinformatics,16,7,39,17,7,12,Central University,Private University,Germany,UK,780,153,4,3,0,0,0,0,9,5,7,28.0,35,0
Computer Vision,Quantum Computing,13,8,27,65,4,29,Research Institute,Research Institute,USA,USA,459,1365,0,9,1,0,1,1,5,25,9,46.0,42,0
Cloud Computing,IoT,5,4,28,15,21,26,IIT,NIT,Canada,Germany,224,240,0,0,0,0,0,0,1,5,0,21.5,57,1
Bioinformatics,IoT,12,5,24,14,26,21,IIT,NIT,Germany,Canada,192,182,0,6,1,0,0,0,7,5,6,19.0,39,0
Bioinformatics,NLP,16,17,20,35,24,22,NIT,Private University,UK,Germany,300,630,8,0,0,0,0,0,1,2,8,27.5,63,1
Computer Vision,IoT,10,9,39,27,19,13,Private University,Research Institute,Australia,Germany,390,648,6,9,1,0,0,0,1,6,15,33.0,59,1
Cloud Computing,Cybersecurity,15,8,33,30,13,28,Research Institute,Research Institute,Canada,India,561,660,0,7,0,0,1,0,7,15,7,31.5,46,0
Data Science,Computer Vision,13,1,33,18,25,26,Research Institute,IIT,Australia,USA,297,90,5,0,1,0,0,0,12,1,5,25.5,51,0
Data Science,Quantum Computing,12,8,35,27,18,24,NIT,IIT,Canada,Australia,840,594,9,2,1,0,0,0,4,6,11,31.0,45,0
Cybersecurity,Computer Vision,2,16,18,47,21,7,Central University,IIT,Germany,India,414,1128,8,7,1,0,0,0,14,14,15,32.5,26,0
Bioinformatics,Cloud Computing,9,9,28,32,6,26,NIT,Research Institute,Australia,Australia,588,256,8,7,0,0,0,1,0,20,15,30.0,54,0
Quantum Computing,Data Science,13,3,31,12,26,11,NIT,Private University,Germany,Germany,558,144,2,8,1,0,0,1,10,15,10,21.5,33,0
Quantum Computing,Data Science,5,9,15,42,4,27,Research Institute,IIT,USA,Germany,225,882,3,8,0,0,0,0,4,23,11,28.5,37,0
Computer Vision,Computer Vision,5,9,27,28,9,26,Central University,IIT,Germany,Canada,243,252,1,6,6,1,0,0,4,17,7,27.5,77,1
NLP,Data Science,6,11,35,42,7,6,Central University,Private University,UK,USA,700,840,5,3,0,0,0,0,5,1,8,38.5,55,1
Cloud Computing,IoT,6,8,27,36,22,4,Private University,IIT,UK,Germany,594,612,7,0,1,0,0,0,2,18,7,31.5,56,1
IoT,Bioinformatics,14,9,33,50,23,2,Central University,IIT,India,Canada,297,1100,5,4,0,0,0,0,5,21,9,41.5,40,0
Computer Vision,Computer Vision,12,13,37,36,13,6,IIT,NIT,UK,Canada,481,828,6,4,6,1,0,0,1,7,10,36.5,94,1
Robotics,Cloud Computing,7,30,34,54,14,13,Research Institute,NIT,USA,UK,408,270,1,6,1,0,0,0,23,1,7,44.0,34,0
Cloud Computing,Robotics,10,18,19,44,7,19,Private University,Private University,Germany,Canada,418,308,0,3,0,0,1,0,8,12,3,31.5,26,0
NLP,Cybersecurity,8,21,18,44,1,22,NIT,Private University,Canada,India,432,352,0,2,0,0,0,0,13,21,2,31.0,25,0
Quantum Computing,Quantum Computing,8,10,23,28,16,8,NIT,Private University,Germany,Germany,207,560,6,1,6,1,0,1,2,8,7,25.5,100,1
Machine Learning,Bioinformatics,20,3,33,13,22,26,NIT,IIT,USA,Australia,264,299,7,7,1,0,0,0,17,4,14,23.0,52,0
Computer Vision,Data Science,5,11,27,24,18,25,Research Institute,Central University,USA,USA,351,384,1,8,1,0,0,1,6,7,9,25.5,58,1
IoT,IoT,9,7,37,25,25,11,IIT,Research Institute,UK,Canada,814,275,5,0,6,1,0,0,2,14,5,31.0,93,1
Data Science,Quantum Computing,10,15,24,29,1,2,Research Institute,Private University,Germany,Australia,480,290,4,7,1,0,0,0,5,1,11,26.5,46,0
Computer Vision,IoT,8,25,40,40,4,25,Central University,Research Institute,UK,USA,560,640,2,6,1,0,0,0,17,21,8,40.0,27,0
Bioinformatics,Computer Vision,7,7,20,45,28,25,Research Institute,NIT,Australia,UK,440,405,2,1,0,0,0,0,0,3,3,32.5,56,1
Computer Vision,Computer Vision,4,14,10,30,7,16,NIT,NIT,UK,UK,110,720,9,1,6,1,1,1,10,9,10,20.0,65,1
NLP,Cybersecurity,4,10,47,23,22,15,Research Institute,Research Institute,Germany,USA,987,391,8,2,1,0,1,0,6,7,10,35.0,50,0
Quantum Computing,NLP,8,13,17,21,19,11,Private University,Private University,Germany,Canada,255,420,4,9,0,0,1,0,5,8,13,19.0,41,0
Cloud Computing,NLP,6,6,16,31,4,17,NIT,Private University,Australia,UK,208,186,6,1,1,0,0,0,0,13,7,23.5,64,1
NLP,IoT,13,3,22,17,26,16,NIT,Research Institute,UK,India,462,340,7,0,0,0,0,0,10,10,7,19.5,29,0
Data Science,NLP,4,8,35,16,9,13,IIT,NIT,Germany,Germany,560,256,4,0,0,0,0,1,4,4,4,25.5,60,1
Cloud Computing,IoT,11,1,28,29,6,26,Research Institute,Private University,Canada,Canada,420,493,2,3,1,0,0,1,10,20,5,28.5,47,0
IoT,IoT,19,4,29,27,18,24,Private University,Private University,Canada,USA,551,513,7,5,6,1,1,0,15,6,12,28.0,80,1
Computer Vision,Robotics,12,15,19,30,23,13,Research Institute,Central University,India,India,380,480,9,9,0,0,0,1,3,10,18,24.5,78,1
Bioinformatics,Bioinformatics,7,9,20,21,16,29,NIT,NIT,Australia,Germany,120,336,6,4,6,1,1,0,2,13,10,20.5,83,1
Quantum Computing,Cloud Computing,7,9,17,31,21,27,Private University,IIT,Australia,Australia,221,372,9,3,1,0,0,1,2,6,12,24.0,69,1
Computer Vision,Data Science,16,13,30,32,9,23,Central University,Research Institute,Australia,India,480,704,1,3,0,0,0,0,3,14,4,31.0,52,0
IoT,Cybersecurity,11,14,17,34,13,4,Research Institute,IIT,USA,Canada,102,238,7,5,1,0,0,0,3,9,12,25.5,62,1
Robotics,IoT,7,25,19,61,10,20,Central University,Central University,India,UK,133,732,3,6,1,0,1,0,18,10,9,40.0,52,0
Computer Vision,Robotics,7,13,16,28,21,17,Private University,NIT,India,Canada,288,140,2,9,1,0,0,0,6,4,11,22.0,54,0
Quantum Computing,Quantum Computing,14,12,40,40,1,6,Central University,Private University,Canada,USA,480,480,5,3,6,1,0,0,2,5,8,40.0,91,1
Quantum Computing,Robotics,12,7,30,29,17,23,NIT,IIT,USA,Australia,720,377,9,5,1,0,0,0,5,6,14,29.5,46,0
Data Science,Quantum Computing,6,9,32,26,27,23,Research Institute,Research Institute,UK,USA,672,260,8,9,1,0,1,0,3,4,17,29.0,53,0
Data Science,Quantum Computing,14,6,23,48,26,26,Central University,Central University,UK,Australia,345,768,7,8,1,0,1,0,8,0,15,35.5,37,0
Computer Vision,Machine Learning,3,11,12,19,2,28,NIT,Central University,Germany,Canada,264,437,9,5,0,0,0,0,8,26,14,15.5,47,0
NLP,NLP,6,10,18,28,25,6,NIT,Central University,USA,USA,306,252,9,4,6,1,0,1,4,19,13,23.0,74,1
Cybersecurity,Quantum Computing,6,14,41,33,16,6,Private University,Central University,USA,Canada,574,627,9,8,0,0,0,0,8,10,17,37.0,55,1
Cybersecurity,Computer Vision,6,8,25,16,19,21,Private University,IIT,Germany,Germany,600,368,2,1,0,0,0,1,2,2,3,20.5,71,1
Cloud Computing,Data Science,3,4,11,22,19,28,Central University,Private University,Canada,Germany,77,220,0,0,1,0,0,0,1,9,0,16.5,35,0
Data Science,Computer Vision,18,6,30,16,29,16,Research Institute,Private University,India,Canada,420,192,5,7,0,0,0,0,12,13,12,23.0,37,0
Data Science,Cybersecurity,6,4,21,28,13,7,IIT,NIT,Australia,Germany,294,392,4,3,0,0,0,0,2,6,7,24.5,65,1
Robotics,Data Science,8,14,13,35,16,2,Private University,Central University,UK,UK,299,385,9,2,0,0,0,1,6,14,11,24.0,40,0
Cloud Computing,Quantum Computing,9,9,31,42,27,21,Research Institute,Private University,USA,UK,310,378,3,3,1,0,0,0,0,6,6,36.5,72,1
Machine Learning,IoT,7,4,37,20,22,23,IIT,IIT,India,India,703,440,4,9,1,0,1,1,3,1,13,28.5,53,0
NLP,Machine Learning,9,12,24,36,25,12,Private University,Private University,Germany,USA,288,828,4,9,0,0,1,0,3,13,13,30.0,61,1
NLP,Bioinformatics,6,14,41,35,14,24,Central University,IIT,USA,Canada,615,735,6,8,0,0,0,0,8,10,14,38.0,37,0
Data Science,Data Science,13,12,39,29,29,4,Central University,NIT,India,India,624,261,9,4,6,1,0,1,1,25,13,34.0,91,1
Cybersecurity,Robotics,14,9,33,20,13,12,Central University,Private University,Canada,Canada,363,200,9,2,0,0,0,1,5,1,11,26.5,60,1
Computer Vision,Robotics,12,16,14,41,13,12,IIT,Private University,India,India,308,984,2,6,0,0,0,1,4,1,8,27.5,52,0
NLP,Cloud Computing,7,12,18,49,24,14,Research Institute,Private University,USA,India,288,833,4,9,1,0,0,0,5,10,13,33.5,43,0
Machine Learning,Cybersecurity,7,11,17,29,12,17,Central University,NIT,India,Germany,289,464,6,5,0,0,0,0,4,5,11,23.0,50,0
Computer Vision,Computer Vision,8,15,23,28,5,25,NIT,IIT,Germany,India,184,532,1,1,6,1,0,0,7,20,2,25.5,72,1
Data Science,NLP,8,6,22,19,8,28,Central University,Private University,UK,USA,506,304,1,8,1,0,0,0,2,20,9,20.5,63,1
NLP,Quantum Computing,9,11,22,37,4,26,IIT,IIT,Australia,Australia,220,666,7,6,0,0,1,1,2,22,13,29.5,64,1
NLP,Robotics,8,8,21,21,27,20,Private University,NIT,UK,Germany,105,252,3,8,0,0,0,0,0,7,11,21.0,54,0
Quantum Computing,Computer Vision,2,10,27,26,26,8,Private University,IIT,USA,USA,216,312,7,7,1,0,0,1,8,18,14,26.5,45,0
Computer Vision,Cybersecurity,7,5,38,28,15,14,Research Institute,Central University,Canada,Germany,646,336,8,0,1,0,0,0,2,1,8,33.0,62,1
Data Science,Bioinformatics,3,6,24,21,9,13,NIT,IIT,USA,USA,456,252,8,0,1,0,0,1,3,4,8,22.5,88,1
Cloud Computing,Quantum Computing,11,3,26,31,16,26,Research Institute,Central University,Australia,Canada,598,341,5,5,0,0,0,0,8,10,10,28.5,49,0
Machine Learning,Cloud Computing,16,5,23,18,5,8,Central University,Research Institute,USA,Australia,253,378,7,7,0,0,0,0,11,3,14,20.5,37,0
Robotics,Machine Learning,6,9,24,32,9,21,Private University,NIT,UK,Germany,168,672,2,4,0,0,0,0,3,12,6,28.0,57,1
Cybersecurity,IoT,6,4,22,38,3,7,IIT,Research Institute,USA,India,528,532,4,7,0,0,0,0,2,4,11,30.0,53,0
Cloud Computing,Data Science,8,9,29,25,3,21,IIT,NIT,UK,Germany,609,600,8,1,1,0,0,0,1,18,9,27.0,40,0
Quantum Computing,Cloud Computing,7,12,36,34,7,16,Private University,NIT,UK,Germany,288,646,5,0,0,0,0,0,5,9,5,35.0,54,0
Computer Vision,Computer Vision,11,9,25,22,27,4,IIT,IIT,Australia,UK,325,198,4,4,6,1,1,0,2,23,8,23.5,78,1
Robotics,Cybersecurity,14,7,23,18,14,20,IIT,Research Institute,India,UK,161,396,1,2,0,0,0,0,7,6,3,20.5,43,0
Cloud Computing,Cybersecurity,11,6,33,24,15,27,Private University,IIT,Germany,Canada,627,408,2,4,0,0,0,0,5,12,6,28.5,53,0
Cloud Computing,NLP,8,8,44,18,8,20,Research Institute,Central University,Australia,India,704,234,8,6,0,0,0,0,0,12,14,31.0,40,0
Bioinformatics,Robotics,13,13,29,34,26,18,IIT,NIT,Australia,Australia,551,816,4,1,1,0,0,1,0,8,5,31.5,66,1
Data Science,Computer Vision,16,8,23,24,6,15,Private University,Central University,Australia,Canada,391,408,2,4,1,0,0,0,8,9,6,23.5,49,0
Cybersecurity,Robotics,17,8,23,16,1,2,NIT,IIT,India,Germany,368,128,4,3,0,0,0,0,9,1,7,19.5,37,0
Computer Vision,Quantum Computing,6,8,28,46,21,23,Private University,IIT,Australia,UK,672,1012,2,2,1,0,0,0,2,2,4,37.0,59,1
NLP,NLP,11,9,25,23,10,22,IIT,IIT,India,USA,575,506,0,2,6,1,1,0,2,12,2,24.0,64,1
IoT,Cloud Computing,11,9,26,28,2,3,Central University,Central University,Australia,USA,364,588,5,8,1,0,1,0,2,1,13,27.0,65,1
Data Science,Bioinformatics,11,3,29,42,15,3,NIT,IIT,Canada,India,435,588,7,2,1,0,0,0,8,12,9,35.5,43,0
Data Science,Cloud Computing,9,10,34,32,17,24,Private University,IIT,UK,UK,204,480,0,7,1,0,0,1,1,7,7,33.0,67,1
Quantum Computing,IoT,15,8,35,20,25,15,IIT,Research Institute,Germany,UK,525,120,7,2,1,0,0,0,7,10,9,27.5,59,1
Machine Learning,NLP,6,8,32,23,12,6,Private University,Central University,Australia,USA,288,460,5,6,0,0,0,0,2,6,11,27.5,89,1
Bioinformatics,Computer Vision,15,12,39,30,14,23,IIT,NIT,Australia,Canada,507,300,0,4,1,0,0,0,3,9,4,34.5,54,0
Cloud Computing,Machine Learning,16,16,29,23,20,10,IIT,NIT,India,India,696,161,9,4,0,0,0,1,0,10,13,26.0,64,1
IoT,NLP,26,4,46,22,24,8,Central University,NIT,Germany,India,276,220,3,6,1,0,0,0,22,16,9,34.0,35,0
Cloud Computing,Data Science,5,15,33,31,2,12,Private University,NIT,USA,Germany,660,744,6,4,0,0,0,0,10,10,10,32.0,35,0
Data Science,Quantum Computing,7,15,13,24,6,1,Central University,Central University,India,India,260,552,7,7,0,0,1,1,8,5,14,18.5,37,0
Cloud Computing,Robotics,12,9,30,22,21,25,IIT,Research Institute,USA,India,360,132,4,3,1,0,0,0,3,4,7,26.0,54,0
Cybersecurity,Bioinformatics,9,4,32,22,5,8,IIT,Central University,Germany,UK,672,198,5,2,0,0,0,0,5,3,7,27.0,53,0
Computer Vision,Machine Learning,9,19,56,25,22,3,Research Institute,Central University,Germany,USA,1008,425,4,1,0,0,0,0,10,19,5,40.5,43,0
Bioinformatics,Quantum Computing,7,2,20,27,17,25,Research Institute,NIT,UK,Germany,340,513,9,3,1,0,0,0,5,8,12,23.5,43,0
Data Science,Robotics,4,2,19,23,20,4,Research Institute,Research Institute,Germany,USA,247,552,8,1,0,0,1,0,2,16,9,21.0,50,0
NLP,Machine Learning,18,7,50,27,26,13,IIT,NIT,Germany,Australia,1100,621,1,8,0,0,0,0,11,13,9,38.5,41,0
Data Science,Machine Learning,9,4,53,18,14,18,IIT,Private University,UK,Canada,530,432,8,7,1,0,0,0,5,4,15,35.5,67,1
Bioinformatics,Cloud Computing,3,6,14,32,3,13,IIT,NIT,USA,Germany,252,768,5,0,1,0,0,0,3,10,5,23.0,51,0
IoT,Bioinformatics,2,6,28,31,5,26,IIT,IIT,USA,India,616,651,9,4,0,0,1,0,4,21,13,29.5,40,0
Robotics,Data Science,5,2,24,26,1,28,Research Institute,Private University,Germany,Canada,576,442,0,8,0,0,0,0,3,27,8,25.0,55,1
Computer Vision,Cloud Computing,25,14,37,56,19,21,Research Institute,NIT,India,Canada,592,952,1,0,1,0,0,0,11,2,1,46.5,34,0
Cybersecurity,Quantum Computing,14,4,40,46,6,14,IIT,IIT,Australia,Germany,840,460,0,5,0,0,1,0,10,8,5,43.0,40,0
NLP,Bioinformatics,6,12,34,41,4,7,NIT,Central University,UK,Germany,816,820,2,6,1,0,0,0,6,3,8,37.5,59,1
Data Science,Bioinformatics,2,7,31,19,13,8,Central University,NIT,Germany,India,682,418,5,1,1,0,0,0,5,5,6,25.0,66,1
Robotics,Computer Vision,12,3,72,17,26,23,NIT,NIT,Australia,India,432,323,7,0,0,0,1,0,9,3,7,44.5,44,0
NLP,Data Science,9,15,20,33,15,9,Private University,Private University,Germany,India,400,198,7,0,0,0,1,0,6,6,7,26.5,39,0
Cloud Computing,IoT,3,11,31,26,12,1,Central University,Central University,USA,Germany,589,494,0,9,0,0,1,0,8,11,9,28.5,36,0
Bioinformatics,NLP,2,11,23,30,24,28,IIT,Central University,India,Canada,506,240,4,1,1,0,0,0,9,4,5,26.5,37,0
Quantum Computing,Data Science,22,5,52,12,2,12,IIT,NIT,USA,India,1092,132,0,2,1,0,0,0,17,10,2,32.0,27,0
Robotics,Cloud Computing,8,17,14,45,23,6,Central University,IIT,Germany,Canada,224,765,1,9,1,0,0,0,9,17,10,29.5,41,0
Bioinformatics,Machine Learning,8,10,48,44,10,8,Central University,Private University,USA,Germany,864,616,0,9,1,0,0,0,2,2,9,46.0,54,0
Cloud Computing,Computer Vision,8,4,30,20,9,1,Research Institute,Private University,USA,India,270,160,1,9,0,0,0,0,4,8,10,25.0,44,0
NLP,Machine Learning,36,3,57,10,14,8,IIT,NIT,India,USA,1311,50,7,4,1,0,0,0,33,6,11,33.5,53,0
Robotics,Computer Vision,8,20,41,35,15,9,Private University,Research Institute,UK,Australia,943,805,7,4,0,0,0,0,12,6,11,38.0,49,0
Bioinformatics,Computer Vision,7,16,24,35,10,15,IIT,NIT,India,Canada,240,385,7,3,1,0,0,0,9,5,10,29.5,47,0
IoT,Data Science,10,7,20,24,22,16,NIT,IIT,India,India,460,240,2,7,0,0,0,1,3,6,9,22.0,78,1
IoT,Quantum Computing,6,16,29,35,4,12,IIT,Private University,USA,Canada,145,455,7,8,1,0,0,0,10,8,15,32.0,39,0
Cybersecurity,Cybersecurity,1,13,18,25,11,18,Private University,Private University,India,USA,216,425,5,5,6,1,1,0,12,7,10,21.5,71,1
Data Science,Bioinformatics,7,8,34,23,14,15,NIT,Central University,USA,Germany,306,437,4,2,1,0,0,0,1,1,6,28.5,79,1
NLP,Quantum Computing,16,5,42,23,10,26,IIT,Research Institute,Australia,USA,798,414,7,1,1,0,0,0,11,16,8,32.5,34,0
Bioinformatics,Cloud Computing,8,19,18,37,9,25,Private University,Private University,Germany,India,144,740,3,9,0,0,1,0,11,16,12,27.5,20,0
Computer Vision,NLP,14,26,27,66,18,6,Central University,Private University,Germany,USA,459,660,1,2,1,0,0,0,12,12,3,46.5,28,0
Cloud Computing,Cloud Computing,6,3,24,19,8,5,NIT,IIT,Canada,Germany,216,190,9,0,6,1,0,0,3,3,9,21.5,89,1
Data Science,IoT,14,5,48,23,18,18,Private University,Central University,Australia,Australia,960,414,1,5,1,0,0,1,9,0,6,35.5,51,0
Cloud Computing,Bioinformatics,15,5,41,28,25,11,Central University,NIT,Germany,India,369,224,4,7,0,0,0,0,10,14,11,34.5,30,0
Data Science,Machine Learning,10,11,37,33,26,17,Research Institute,Central University,USA,India,444,462,6,6,0,0,0,0,1,9,12,35.0,70,1
IoT,Quantum Computing,8,11,27,44,2,15,Research Institute,NIT,UK,USA,486,528,4,7,0,0,0,0,3,13,11,35.5,56,1
Computer Vision,Robotics,5,2,42,32,17,8,NIT,Central University,Canada,Australia,966,640,8,2,0,0,0,0,3,9,10,37.0,64,1
Machine Learning,Cybersecurity,6,10,22,45,25,19,NIT,Central University,Australia,USA,242,630,8,2,0,0,0,0,4,6,10,33.5,47,0
NLP,Data Science,3,5,26,25,17,17,NIT,Central University,Australia,Australia,208,350,4,6,0,0,0,1,2,0,10,25.5,70,1
Machine Learning,Quantum Computing,9,11,22,20,13,25,Central University,NIT,Australia,Australia,242,400,4,9,1,0,0,1,2,12,13,21.0,51,0
Robotics,Bioinformatics,10,5,27,31,22,14,Private University,NIT,Australia,Germany,567,310,5,1,0,0,0,0,5,8,6,29.0,53,0
Machine Learning,Robotics,9,24,26,36,14,28,IIT,Research Institute,India,USA,624,504,8,8,0,0,0,0,15,14,16,31.0,38,0
Machine Learning,Machine Learning,6,5,47,33,17,5,Research Institute,Central University,Germany,Australia,611,396,2,0,6,1,0,0,1,12,2,40.0,70,1
Robotics,NLP,20,7,50,20,18,3,NIT,Central University,UK,India,850,380,9,0,1,0,0,0,13,15,9,35.0,28,0
Machine Learning,NLP,9,10,12,41,15,11,NIT,IIT,Australia,Australia,108,451,5,5,0,0,0,1,1,4,10,26.5,82,1
Data Science,Cybersecurity,20,9,39,23,5,16,IIT,Research Institute,UK,India,702,506,5,0,0,0,0,0,11,11,5,31.0,32,0
Data Science,NLP,12,6,21,32,20,12,Central University,NIT,UK,Canada,294,192,6,4,0,0,0,0,6,8,10,26.5,46,0
Cybersecurity,Data Science,15,9,30,24,9,23,Private University,NIT,Canada,Canada,540,384,8,1,1,0,0,1,6,14,9,27.0,44,0
